,Unnamed: 0,id,title,price,brand,style,heel_type,heel_height,width,shoe_width,material,occasion,country_region_of_manufacture,lining_material,upper_material,shoe_size,toe_shape,model,year_of_manufacture,size,colour,color,main_colour,lining,sole,vintage,closure,pattern,theme,fastening,platform_height,location,n_sold,n_watchers,free_shipping,longtime_member,same_day_shipping,fast_safe_shipping,returns,feedback,condition,seller_notes,category,new_brand,new_country
10,11,12,Ralph Lauren Collection Heels 7.5 Yellow Gold Ankle Strappy Women’s Italy Shoes,202.4345,Ralph Lauren Collection,Strappy,,High (3-3.9 in),,M,,Party/Cocktail,,,Leather,,Open Toe,,,,,Gold,,,,No,Buckle,Solid,Metal,,,"Houston, Texas, United States",,,0.0,1.0,0.0,1.0,0.0,0.0,Pre-owned,,heels,Ralph Lauren Collection,United States
11,12,13,Womens Plateform Shoes Sexy Peep Toe Stilettos Party Sandals High Heels Slip On,56.4369,Unbranded,Mary Janes,Stiletto,High (3 in. and Up),"Medium (B, M)",,Synthetic,Party,China,,,,,,,,,,,,,,,,,,,"ChengDu, China",28.0,,1.0,0.0,0.0,0.0,0.0,0.0,New with box,,heels,Unbranded,China
12,13,14,Casadei heels,169.8994,Casadei,Sandal,,100mmmm,,,,,,,Leather,,Peep Toe,,,,Black,,,,,,,,,,,"Bellevue Hill, NSW, Australia",,,0.0,0.0,0.0,0.0,0.0,1.0,Pre-owned,,heels,Casadei,Austria
13,14,15,Womens High Wedges Summer Espadrilles Sandals Strappy Stretch Elastic Holiday,21.6775,Branded,Sandal,Wedge,High (3 in. and Up),,,,Evening,,,Synthetic,,,,,,,,,Textile,Synthetic,,,,,Slip On,1.3 Inches,"Manchester, United Kingdom",,33.0,0.0,1.0,1.0,0.0,0.0,0.0,New with box,,heels,Branded,United Kingdom
14,15,16,NEW Chanel Beige & Black Leather Ladies Heels Shoes - Size 41,405.7361,CHANEL,,,Mid (5-7.5 cm),,,,,,,,,,,,,Beige,,,,,,,,,,,"London, United Kingdom",,,0.0,1.0,0.0,1.0,0.0,0.0,New with box,,heels,CHANEL,United Kingdom
15,16,17,Manolo Blahnik Evening Sandals Shoes Heels 41 Women gold leather strappy,79.3353,Manolo Blahnik,Strappy,,Ultra High (4 in & Higher),,,,,,,Leather,,Open Toe,,,,,Gold,,,,,,,Metal,,,"San Antonio, Texas, United States",,,0.0,1.0,0.0,0.0,0.0,0.0,Pre-owned,“Excellent used”,heels,Manolo Blahnik,United States
16,17,18,VIONIC PROUD BRIA  Leather Peep-Toe Wedge Snake Print 9 M NEW!,55.9381,Vionic,Platforms & Wedges,Wedge,Med (1 3/4 in. to 2 3/4 in.),"Medium (B, M)",M,Leather,,,,Leather,,Peep Toe,,,,,Beige,,,,,,,Snake,Slip On,,"Rutland, Vermont, United States",,,0.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Vionic,United States
17,18,19,"CHANEL Oxford, Lace up Shoes, NEW, Black, Leather, Size 38",1016.2441,CHANEL,"Oxford, Lace up",,Mid (2-2.9 in),,B,,,,,Leather,,Almond Toe,Chanel Oxford,,38,,Black,,,,No,Lace Up,,,,,"Connecticut,Connecticut Unated State, United States",,,0.0,1.0,0.0,1.0,0.0,0.0,New with box,,heels,CHANEL,United States
18,19,22,Hobbs nude patent leather Elizabeth Court shoes size 40 ,66.1229,Hobbs,Court Shoes,,Mid (2-2.9 in),,,Patent Leather,,,,Patent Leather,,,,,,,Nude,Nude/ Parchment,,,No,,,,,,"Saint-Petersburg, Russian Federation",,,1.0,1.0,0.0,0.0,0.0,0.0,Pre-owned,“very good”,heels,Hobbs,Russia
19,20,24,VENISE COLLECTION WOMEN'S BLACK SUEDE EVENING SHOES UK 7 EUR 40 OCCASIONS,82.9342,VENISE COLLECTION,Court Shoes,Stiletto,Low (2.5-4.9 cm),Narrow (2A),,,Special Occasion,Italy,,Suede,UK 7,,,,,,,Black,100% Leather,100% Leather,,,,,,,"London, United Kingdom",,,0.0,1.0,0.0,0.0,0.0,0.0,Pre-owned,,heels,VENISE COLLECTION,United Kingdom
20,21,25,Jimmy Choo Gilbert Black Kid Leather Pump 85 Almond Toe 37.5 Italy Classic ,249.2289,Jimmy Choo,Pump,,High (3-3.9 in),,M,,,,,Leather,,Almond Toe,Gilbert,,,,Black,,,,No,,,,,,"Santa Ana, California, United States",,,0.0,1.0,0.0,1.0,0.0,0.0,Pre-owned,“Minor wear. Scuffs on soles. GREAT condition! Please refer to pictures.”,heels,Jimmy Choo,United States
21,22,26,gucci women shoes size 7.5 black wedge peep toe heels-top is good condition. ,253.2976,Gucci,Wedge,Wedge,High (3-3.9 in),,,,Evening & Party,,,,,Peep Toe,,,,,Black,,,,,,,Party,,,"Boynton Beach, Florida, United States",,,0.0,0.0,0.0,1.0,0.0,1.0,Pre-owned,,heels,Gucci,United States
22,23,27,Next Forever Comfort Leather Sandals - Shoes Size 4 - Brand New RRP £39,25.5055,NEXT,Slingback,,Mid (5-7.5 cm),,,,,,,,,Pointed Toe,,,,Ivory,,,,,,,,,,,"Stockton on Tees, Cleveland, United Kingdom",,,0.0,1.0,1.0,0.0,0.0,0.0,New without box,,heels,NEXT,United Kingdom
23,24,28,Brian Atwood Bambola Heels Sz 11,152.5893,Brian Atwood,Platform,,Ultra High (4 in & Higher),,,,,,,Leather,,Peep Toe,,,,,Green,,,,,,,,,,"Woodbridge, Virginia, United States",,,0.0,1.0,0.0,1.0,0.0,0.0,Pre-owned,,heels,Brian Atwood,United States
24,25,29,Jimmy Choo Luna Suede Mirror Leather Sandal With Jewels Size 39.5 W Box,406.9048,Jimmy Choo,Strappy,,Flat (Under 1 in),,,,,,,Suede,,,,,,,Silver,,,,,,,,,,"Highland Park, Illinois, United States",,,0.0,0.0,0.0,1.0,0.0,1.0,Pre-owned,,heels,Jimmy Choo,United States
25,26,30,Rene Mancini New Runway Auth Canvas Heels Shoes Pumps Open Toe 6.5 US 36.5 EU ,39.672,MANCINI,Pump,,High (3-3.9 in),,B,,,,,"Canvas, Leather",,Open Toe,,,,,Beige,,,,No,,,,,,"Newport Beach, California, United States",,,0.0,1.0,0.0,0.0,1.0,0.0,New without box,"“New, elegant & luxurious canvas heels.”",heels,MANCINI,United States
26,27,31,Giuseppe Zanotti Heels 35 Gold Beaded Pointed Toe Kitten Women’s Shoes Slip On,100.7083,Giuseppe Zanotti,Mule,,Low (1-1.9 in),,,,Party/Cocktail,,,Beaded,,Pointed Toe,,,,,Gold,,,,Yes,,,Metal,,,"Houston, Texas, United States",,,0.0,1.0,0.0,1.0,0.0,0.0,Pre-owned,,heels,Giuseppe Zanotti,United States
27,28,32,NEW Women Gucci leather burgundy heels-size 7B,467.0247,Gucci,Pump,,High (3-3.9 in),,B,,,,,Leather,,,,,,,Red,,,,,,,,,,"Boynton Beach, Florida, United States",,,0.0,0.0,0.0,1.0,0.0,1.0,New without box,,heels,Gucci,United States
28,29,33,LILLY PULITZER Women's Size 9M Black Patent Leather Peep Open Toe Wedge Heels,30.508,Lilly Pulitzer,Wedge,,High (3-3.9 in),,M,Patent Leather,,,,"Faux Leather, Patent Leather",,Peep Toe,Open Toe,,,,Black,,,,No,,,,,,"Frisco, Texas, United States",,,0.0,1.0,0.0,0.0,0.0,0.0,Pre-owned,“Gently Used”,heels,Lilly Pulitzer,United States
29,30,34,DREAM PAIRS Women Ladies Double Ankle Strap Almond Toe High Heel Dress Pumps US,22.8781,DREAM PAIRS,"Pumps, Classics",Stiletto,Ultra High (4 in & Higher),"Medium (B, M)",,Synthetic,Special Occasion,China,,,,Almond Toe,,,,,,,,,,,,,,,"North Bergen, New Jersey, United States",128.0,,0.0,0.0,0.0,0.0,1.0,0.0,New with box,,heels,DREAM PAIRS,United States
30,31,35,2PCS Clear High Heel Protectors Stopper Protect Heels Stiletto Shoes Covers,1.2644,Unbranded,Protective Cover,,Does Not Apply,,Does Not Apply,PVC,Casual,China,,,,Does Not Apply,Does Not Apply,,,Clear,,Clear,,,No,,,,,,"YiWu, China",36.0,,0.0,0.0,0.0,0.0,1.0,0.0,New without box,,heels,Unbranded,China
31,32,36,Vintage Annewells Embroidered Pumps Womens Size 6 Kitten Low Heels Green Suede,30.4674,Vintage,Slip-On,,Mid (2-2.9 in),,M,,,,,Suede,,Almond Toe,,,,,Green,,,,Yes,,,,,,"Portland, Oregon, United States",,,0.0,1.0,1.0,0.0,0.0,0.0,Pre-owned,“Excellent Pre-Owned Condition: PLEASE REVIEW PHOTOS they are a part of my description.”,heels,Vintage,United States
32,33,37,"New women's gold shoes.Size 9,5 (40 EU)",55.9497,Stefani,Pump,,Low (1-1.9 in),,B,,,,,Faux Leather,,Closed Toe,,,,,Gold,,,,,,,Metal,,,"Moscow, Russian Federation",,,0.0,1.0,1.0,0.0,0.0,0.0,New without box,,heels,Stefani,Russia
33,34,38,Women High Stiletto Heels Pump Slip On Party Pointed Toe Heels Shoes Dress Shoes,41.45405,Unbranded,Court Shoes,Slim,High (3 to 4 1/4),,,Synthetic,Evening & Party,China,,,,,,,,,,Black,,,,,,,Slip On,,"Beijing, China",,,1.0,1.0,0.0,0.0,1.0,0.0,New without box,,heels,Unbranded,China
34,35,39,BETSEY JOHNSON Shoes Mady Ankle Strap Open Toe Gold Metallic Heels Sz 8.5 NEW,41.7078,Betsey Johnson,Heeled Sandals,Block,Ultra High (4 in & Higher),"Medium (B, M)",M,Synthetic,Any Occasion,,,PU,,Open Toe,Mady,,8.5,,Metallic Gold & Black,,,,No,,Metallic,,Buckle,,"Hilo, Hawaii, United States",,,0.0,0.0,0.0,1.0,0.0,1.0,New without box,,heels,Betsey Johnson,United States
35,36,40,WOmen's High Stilettos Heels Peep Toe Lace Up Gladiator Hollow Out Sandals Shoes,75.2666,Unbranded,Open Toe,Stiletto,High (3 in. to 4.5 in.),"Medium (B, M)",,Synthetic,Clubwear,China,,,,,,,,,,,,,,,,,Lace Up,,"zhengzhou, China",,,0.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
36,37,41,Womens Fashion Mesh Pointed Toe Floral Diamante High Heel Sandals Shoes FNIES,84.1957,Unbranded,Mule,,High (3-3.9 in),,,,Casual,,,Leather+Synthetic,,,,,,Red Silver,,,,,,,,,,,"beijing, China",,,1.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
37,38,42,Womens Unisex Buckle Ankle Strap Stiletto Heel Court Shoes 9 10 11 12,25.5055,Shelikes,Heels,,"4.5""/11.5 cm",,,,Party,,,,,,,,,,,,,,,,,,,,"Manchester, United Kingdom",26.0,,0.0,0.0,1.0,0.0,0.0,0.0,New with box,,heels,Shelikes,United Kingdom
38,39,43,Russell & Bromley Floral Print Leather Heels (8cm) Size 7.5/40.5 *NEW* SuperRare,84.1841,Russell & Bromley,,,High (7.6-10 cm),,,,,,,,,,,,,Multicoloured,,,,,,,,,,,"Manchester, United Kingdom",,,0.0,0.0,0.0,0.0,0.0,1.0,New with defects,,heels,Russell & Bromley,United Kingdom
39,40,44,Women Ladies Office Round Toe Stiletto High Heel Platform Pumps Working Shoes E,11.1911,Unbranded,Platforms & Wedges,Stiletto,High (3 in. and Up),"Medium (B, M)",,Patent Leather,Wear to Work,China,,Synthetic Leather,,,,,,,Multi-Color,,Synthetic Leather,Rubber,,,Solid,"Party, Vintage",Slip On,,"China, China",,,0.0,1.0,0.0,0.0,1.0,0.0,New without box,“Formal Women High Heels Shoes-”,heels,Unbranded,China
40,41,45,Ladies Open Toe Platform High Heel Stiletto Party club Sandals Shoes Ankle Strap,38.6976,Unbranded,Peep Toes,Stiletto,High Heel (3-4.5 in.),,,,,,,Synthetic Leather,UK2-7,,,,,,,3,,,,,,,,,"ChengDu, China",,24.0,0.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
41,42,46,Nurture Peyt Peep Toe Leather Flats Sz 8.5M Gold Metallic Womens Shoes,26.448,Nurture,Slip On,,Flat (Under 1 in),"Medium (B, M)",M,Leather,,,,Leather,,Peep Toe,,,8.5,,Gold,,,,,,Textured,Metal,,,"Amelia, Ohio, United States",,,0.0,1.0,0.0,1.0,0.0,0.0,Pre-owned,,heels,Nurture,United States
42,43,47,Ladies Bowknot Lolita Round Toe Mary Jane Ankle Strap Cosplay Princess Shoes B,36.9895,Unbranded,Mary Jane,,2.5cm,,,,Casual,China,,Synthetic,,Round Toe,,,34-43,Gold,,,,,,Buckle,No Pattern,,,,"Cheng Du, China",,,1.0,0.0,0.0,0.0,1.0,1.0,New with box,,heels,Unbranded,China
43,44,49,Wedding White Ivory Lace Bridesmaid Bridal shoes Flat 3“ 4” Low High Heels 5-12,15.2395,"""Handmade""",wedding shoes,,flat 5cm 8cm,"Medium (B, M)",,Synthetic,Bridal or Wedding,China,,,,,,,,,white ivory,,,,,,,,,,"CN, China",,26.0,0.0,0.0,0.0,0.0,0.0,0.0,New with box,,heels,"""Handmade""",China
44,45,50,Women's High Stiletto Heels Pumps Slip On Pointed Toe Fashion Buckle Shoes Party,66.85805,Unbranded,Court Shoes,Slim,High (3 to 4 1/4),,,Synthetic,Evening & Party,China,,,,,,,,,,White,,,,,,,Slip On,,"Beijing, China",,,1.0,1.0,0.0,0.0,1.0,0.0,New without box,,heels,Unbranded,China
45,46,51,D32 christian louboutin apostrophy black leather pointed toe pumps women's sz 36,223.9699,,Escarpin,,,,,,,,,,,,,,,,,,,,,,,,,,"La Garde, France",,,0.0,1.0,0.0,0.0,0.0,0.0,Pre-owned,,heels,Christian Louboutin,France
46,47,52,CYDWOQ USA Handmade Dark Brown Leather Flat Shoes Slip On Ankle Booties Size 39 ,142.3668,CYDWOQ,Ankle Boot,Flat,Flat (0 to 1/2 in),"Medium (B, M)",M,,Casual,United States,Leather,Leather,,Closed Toe,Vintage,2010-2019,39,,Black Brown,,,,No,slip On,Solid,USA Made,,/,"El Cajon, California, United States",,,0.0,1.0,0.0,1.0,0.0,0.0,Pre-owned,"“good pre-owned very wearable condition with a bit of wear showing,  mostly to bottom of sole- see photos. Ask if questions. More info in item description.”",heels,CYDWOQ,United States
47,48,53,Gucci Women heels -size 38-excellent condition ,253.2976,Gucci,Sandals,,High (3-3.9 in),,B,,,,,Leather,,,,,,,Black,,,,,,,,,,"Boynton Beach, Florida, United States",,,0.0,0.0,0.0,0.0,0.0,0.0,Pre-owned,,heels,Gucci,United States
48,49,55,Womens Open Toe Suede Buckle  High Heel Ankle Strap Low Top Shoe Plus SZ,61.8802,Unbranded,Court Shoes,Stiletto,Very High Heel (4 1/2 in or More),,,,Casual,China,,,,,,,,,,,Synthetic Leather,Rubber,,,,,,,"Beijing, China",,,0.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
49,50,56,Womens 8 BC Footwear Blue Plaid Canvas Peep Toe Wedge Heel Shoes Pumps,19.0733,BC Footwear,Espadrille,,High (3-3.9 in),,M,,,,,"Faux Leather, Canvas",,Round Toe,,,,,Blue,,,,No,,Plaid,,,,"Beckley, West Virginia, United States",,,0.0,1.0,0.0,1.0,1.0,0.0,Pre-owned,,heels,BC Footwear,United States
50,51,57,Chloe Size 39.5 Black Strappy Beckie Sandals Heels CH24105 Retails $695,127.1563,Chloé,Heeled Sandals,Block,High (3 to 4 1/4),"Medium (B, M)",,Leather,,,,,,,,,,,Black,,,,,,,,Buckle,,"Greenwich, Connecticut, United States",,,0.0,0.0,0.0,1.0,0.0,1.0,Pre-owned,,heels,Chloé,United States
51,52,58,Womens Pumps Round toe Hidden Wedge Heel Flats Mary Janes Pull On Dress Shoes SZ,33.81255,Unbranded,Mary Janes,Wedge,Med (1 3/4 in. to 2 3/4 in.),,AA,Synthetic,,,,Faux Leather,,Round Toe,,,,,,,,,,,,,,,"ChengDu, China",,17.0,1.0,1.0,0.0,0.0,0.0,0.0,New with box,,heels,Unbranded,China
52,53,59,WomenS Cute Low Mid Heel Shoes Bow Round Toe Mary Jane Pumps Lolita Size Work OL,25.5055,Unbranded,Mary Janes,Block,Med (1 3/4 to 2 3/4 in),,,,Evening & Party,China,,,,,,,,,,,,,,,,,Slip On,,"Beijing, China",,5.0,0.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
53,54,60,"Dolce Vita Women's Lorna Heeled Sandal, Off Off White Leather, 8 M US",66.091,Dolce Vita,Heeled Sandals,,Flat (0 to 1/2 in.),,Medium,,Casual or Fancy,,,Man-made,,Regular,LORNA,2016 or newer,8,,Off White Leather,,,,No,,,,,,"Plainview, New York, United States",,,0.0,1.0,0.0,1.0,1.0,0.0,New with box,,heels,Dolce Vita,United States
54,55,62,Gucci Women Logo heels-excellent condition- size 7B,253.2976,Gucci,Sandals,,Mid (2-2.9 in),,B,,,,,,,Open Toe,,,,,Brown,,,,,,logo,Logo,,,"Boynton Beach, Florida, United States",,,0.0,0.0,0.0,1.0,0.0,1.0,Pre-owned,,heels,Gucci,United States
55,56,63,Christian Louboutin VERY PRIVE Watersnake Degrade Platform Heel Pump Shoes $1595,915.5242,Christian Louboutin,Platforms & Wedges,,Ultra High (4 in & Higher),,,,,,,,,,,,,,Multicolor,,,,,,,,,,"Lyndhurst, New Jersey, United States",,12.0,0.0,1.0,0.0,0.0,0.0,0.0,New with box,,heels,Christian Louboutin,United States
56,57,64,MARNI Womens Multicolor Open-Toe Strappy Slingback Platform Heel Stiletto 8-38,66.1229,Marni,Platforms & Wedges,Stiletto,High (3 in. and Up),,,Leather,,,,,,,,,,,Multi-Color,,,,,,,,,,"West Hollywood, California, United States",,11.0,0.0,1.0,0.0,0.0,1.0,0.0,Pre-owned,“Excellent! A few marks here and there.”,heels,Marni,United States
57,58,65,Women Gucci logo heels-size 7B,156.658,Gucci,Sandals,,Mid (2-2.9 in),,B,,,,,,,,,,,,Beige,,,,,,,Logo,,,"Boynton Beach, Florida, United States",,,0.0,0.0,0.0,1.0,0.0,1.0,Pre-owned,,heels,Gucci,United States
58,59,66,Womens Slim High Heel Pointed Toe Flower Cutouts Pumps Stiletto Hollow-out Shoes,47.1946,Unbranded,Court,,High (7.6-10 cm),,B,,Party/Cocktail,China,,Faux Leather,,Pointed Toe,,,,Mulitcoloured,,,,,,,,,,,"Beijing, China",,,0.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
59,60,67,DREAM PAIRS Womens Classic Pump High Heel Plaform Party Wedding Dress Pump Shoes,26.6829,DREAM PAIRS,Pump,,Ultra High (4 in & Higher),"Medium (B, M)",,,,China,,,,,,,,,,,,,,,,Classic,,,"North Bergen, New Jersey, United States",116.0,,0.0,0.0,0.0,0.0,1.0,0.0,New with box,,heels,DREAM PAIRS,United States
60,61,68,Marc Fisher Size 7 Sydney Black Leather High Heel Pumps Rounded Toe,35.6033,Marc Fisher,Pump,,High (3-3.9 in),,M,,,,,,,Round Toe,,,,,Black,,,,No,,,,,,"Lombard, Illinois, United States",,,0.0,1.0,0.0,0.0,0.0,0.0,Pre-owned,,heels,Marc Fisher,United States
61,62,69,Badgley Mischka Heels UK7/US9,108.4513,Badgley Mischka,,,High (7.6-10 cm),,,,,,,,,,,,39,Multicoloured,,,,,,,,,,,"London, United Kingdom",,,0.0,0.0,0.0,0.0,0.0,1.0,New with box,,heels,Badgley Mischka,United Kingdom
62,63,70,New Mulberry Zebra Print Calf Hair Platform Sandals - 37,111.6413,Mulberry,Platform,Platform,See description,,,,,,,,,,,,37,Black and White,,,,,,,,,,,"Nottingham, United Kingdom",,,0.0,0.0,0.0,0.0,0.0,1.0,New with defects,“The shoes are brand new but have been on the shop floor. They have scratches on the soles and some light fraying/balding at the edges. In my opinion this doesn't detract from the appeal of the shoes but should be mentioned and is reflected in the asking price.”,heels,Mulberry,United Kingdom
63,64,71,MICHAEL Michael Kors Damita Sandal ADMIRAL VACHETTA size 8.5,100.7083,Admiral,Strappy,,High (3-3.9 in),,,,,,,,,,,,,,admiral,,,,,,,,,,"Lombard, Illinois, United States",,,0.0,1.0,0.0,1.0,1.0,0.0,New with box,,heels,Admiral,United States
64,65,72,Tahari Patent Leather Helen Peep Toe Heels / Pumps Black 2.0-2.5~ Size 7.5M,25.4214,Tahari,"Pumps, Classics",,Mid (2-2.9 in),"Medium (B, M)",M,Patent Leather,,,,Patent Leather,,Peep Toe,Peep Toe,,,,Black,,,,No,,Solid,,Slip On,,"Sunnyvale, California, United States",,,0.0,1.0,0.0,1.0,1.0,0.0,Pre-owned,,heels,Tahari,United States
65,66,73,Retro Pointed stiletto high heel sexy fashion color women's shoes lady's Roman,54.8506,Unbranded,Comfort,Stiletto,High (3 in. to 4.5 in.),,,Synthetic coth,Clubwear,China,,,,,,,,,,,,,,,Multi-Colored,Synthetic coth,Pull On,,"Beijing, China",,,1.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
66,67,74,Kalliste Heels Pumps Silver Accent US 9 Made in Italy,203.4524,KALLISTE,Pump,Cone,Ultra High (4 in & Higher),,,Leather,,Italy,,100% Leather,UK 7,Closed Toe,,,,,Black,Brown,100% Leather,100% Leather,,,,Metal,Zip,,"Hoffman Estates, Illinois, United States",,,0.0,0.0,0.0,1.0,0.0,1.0,Pre-owned,,heels,KALLISTE,United States
67,68,75,Fashion Womens Stilettos Strap Pumps Pointed Toe High Heel Party Shoes Plus Size,49.7466,Unbranded,"Strappy, Ankle Straps",Slim,High (3 to 4 1/4),,,Synthetic,Dress,China,,,,,,,,,,,,,,,,,Buckle,,"Beijing, China",,,1.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
68,69,76,34-40 British Womens Ladies Platform High Wedge Heel Brogues Wingtips Shoes L,38.2655,Unbranded,Brogue,,High (3-3.9 in),,,,Casual,China,,Synthetic,,Round Toe,No,2020-2029,34-40,Black,,,,,No,Lace Up,Solid,College,,,"Fu Jian, China",,,1.0,1.0,0.0,0.0,1.0,0.0,New without box,,heels,Unbranded,China
69,70,78,Fashion Women's Super High Heel Ankle Strap Sandals Peep Toe Stiletto Club Shoes,95.6797,Unbranded,"Strappy, Ankle Straps",Slim,Very High Heel (4 1/2 in or More),,,Synthetic,Evening & Party,China,,,,,,,,,,,,,,,,,Buckle,,"Beijing, China",,,0.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
70,71,79,Women Fashion Glitter Hidden Mid Heels Wedge Sneakers Lace Up Shiny Shoes,25.3808,Forever link,Hidden Wedge,Wedge,Med (1 3/4 to 2 3/4 in),"Medium (B, M)",,"Faux Leather, Synthetic",Evening & Party,,,,,,,,,,,,,,,,,Party,Lace Up,,"La Puente, California, United States",,23.0,0.0,0.0,0.0,0.0,0.0,0.0,New without box,,heels,Forever link,United States
71,72,80,Cole Haan Pumps Beige Snakeskin Print Leather Sz 9B Wedge Heel Open Toe,20.3348,Cole Haan,"Pumps, Classics",Wedge,Low (3/4 to 1 1/2 in),"Medium (B, M)",B,"Leather, Snakeskin",,Brazil,,Leather,,Open Toe,Na,,,,Beige,,,,No,,Animal Print,Snake,Slip On,,"Omaha, Nebraska, United States",,,0.0,1.0,0.0,0.0,1.0,0.0,Pre-owned,,heels,Cole Haan,United States
